ID,n_sms,mean_happy,mean_lonely
586,16,8.1875,4.5625
588,15,6.466666666666667,4.7368421052631575
592,12,3.0833333333333335,4.2
595,14,5.5,2.272727272727273
598,17,5.705882352941177,4.2
600,10,5.6,4.875
601,12,4.0,5.3076923076923075
602,15,9.866666666666667,3.5714285714285716
604,10,7.4,2.857142857142857
607,12,5.666666666666667,4.466666666666667
608,11,5.2727272727272725,2.142857142857143
609,15,6.066666666666666,5.714285714285714
611,12,4.0,4.625
612,14,4.642857142857143,4.583333333333333
614,13,6.615384615384615,3.6
616,12,7.333333333333333,6.285714285714286
619,14,5.214285714285714,4.153846153846154
621,16,5.0625,4.7272727272727275
622,12,6.333333333333333,4.894736842105263
624,6,7.333333333333333,5.5
625,15,9.133333333333333,5.928571428571429
630,4,6.25,6.333333333333333
633,12,5.166666666666667,4.4
639,15,6.0,4.454545454545454
641,11,7.818181818181818,3.3
648,15,5.4,4.2
651,11,6.818181818181818,4.142857142857143
652,8,4.75,5.230769230769231
653,3,3.3333333333333335,6.0
654,10,6.7,4.684210526315789
657,6,5.666666666666667,5.055555555555555
658,3,7.666666666666667,3.0
660,14,5.285714285714286,5.083333333333333
666,12,5.25,3.1538461538461537
667,11,7.454545454545454,5.6
671,11,6.7272727272727275,4.1
672,17,6.705882352941177,6.5
674,8,8.125,2.75
680,13,4.6923076923076925,3.8181818181818183
681,12,4.916666666666667,6.583333333333333
684,11,6.363636363636363,2.4375
685,7,1.0,4.6
687,13,7.461538461538462,3.1538461538461537
689,0,,
692,16,3.9375,4.571428571428571
693,18,4.888888888888889,7.076923076923077
694,18,6.055555555555555,2.1666666666666665
699,15,4.8,5.5
700,12,5.0,5.933333333333334
704,9,5.555555555555555,6.2
705,3,8.333333333333334,1.5
708,12,8.0,3.7
712,16,6.25,6.166666666666667
714,12,6.75,2.0
715,1,7.0,
717,11,7.363636363636363,3.3333333333333335
720,12,7.5,3.0
723,12,6.083333333333333,4.166666666666667
724,4,7.75,7.666666666666667
727,11,7.545454545454546,5.333333333333333
728,9,6.111111111111111,4.5
731,15,5.133333333333334,4.176470588235294
733,12,5.083333333333333,5.090909090909091
