id,wta_change_code1,wta_change_code2,wta_change_code3,startdate,fbhrs_iphone_success,battery_days,fbhrs_battery,fbhrs_nonbattery,fbhrs_noapp,autom_reac,apps_less_use
406,Other,,,05/12/2018 03:45,,,,3.0,,No,ANONYMIZED
407,Time shock,,,03/12/2018 07:52,,,,14.0,,,ANONYMIZED
411,,,,06/12/2018 10:37,,,,1.0,,Yes,ANONYMIZED
416,,,,03/12/2018 10:48,,,,,4.0,No,ANONYMIZED
417,Strategic BDM,Anchoring,,03/12/2018 19:07,,,,7.0,,Yes,ANONYMIZED
421,Strategic BDM,Anchoring,,04/12/2018 12:29,,,,10.0,,No,ANONYMIZED
422,,,,03/12/2018 08:28,,,,21.0,,No,ANONYMIZED
426,,,,03/12/2018 08:25,Yes,Last 7 days,4 hours 55 minutes ,,,No,ANONYMIZED
428,Other,,,03/12/2018 08:07,,,,8.0,,No,ANONYMIZED
430,Other,,,03/12/2018 08:10,Yes,Last 10 days,12h 45m,,,No,ANONYMIZED
431,,,,03/12/2018 10:43,,,,7.0,,Yes,ANONYMIZED
432,Convex cost,Strategic BDM,,03/12/2018 11:57,,,,,10.0,No,ANONYMIZED
433,Time shock,,,03/12/2018 08:16,,,,5.0,,,ANONYMIZED
434,Time shock,,,03/12/2018 08:04,,,,4.0,,No,ANONYMIZED
435,,,,05/12/2018 19:27,Yes,Last day,1 hour 5 minutes,,,No,ANONYMIZED
437,Strategic BDM,,,03/12/2018 09:31,No,,,4.0,,No,ANONYMIZED
440,Other,,,03/12/2018 18:07,,,,,40.0,,ANONYMIZED
442,Convex cost,,,03/12/2018 10:46,Yes,Last 10 days,5 h 57 min,,,,ANONYMIZED
445,Strategic BDM,,,03/12/2018 08:13,,,,20.0,,,ANONYMIZED
446,,,,03/12/2018 08:09,Yes,Last 7 days,1 hr 39 min,,,Yes,ANONYMIZED
448,,,,04/12/2018 17:58,,,,,10.0,Yes,ANONYMIZED
454,Time shock,,,03/12/2018 10:21,Yes,Last 10 days,2 hrs and 28 min,,,No,ANONYMIZED
456,,,,06/12/2018 08:04,Yes,Last day,Hours and minutes ,,,Yes,ANONYMIZED
457,Other,,,04/12/2018 15:28,,,,,10.0,No,ANONYMIZED
458,,,,03/12/2018 08:37,Yes,Last 10 days,6 hrs 34 min,,,No,ANONYMIZED
459,,,,03/12/2018 09:20,,,,,3.5,No,ANONYMIZED
460,,,,03/12/2018 08:20,Yes,Last 10 days,13 hrs 19 min,,,Yes,ANONYMIZED
461,Other,Strategic BDM,,03/12/2018 08:43,,,,14.0,,Yes,ANONYMIZED
465,Strategic BDM,Anchoring,,03/12/2018 12:36,,,,3.0,,,ANONYMIZED
467,Other,,,03/12/2018 11:59,,,,30.0,,No,ANONYMIZED
468,Other,,,03/12/2018 08:53,Yes,Last 10 days,6hrs 27min ,,,No,ANONYMIZED
470,,,,04/12/2018 19:25,,,,,14.0,No,ANONYMIZED
471,,,,03/12/2018 12:11,,,,,1.0,No,ANONYMIZED
472,,,,04/12/2018 16:18,,,,3.5,,No,ANONYMIZED
475,Time shock,,,03/12/2018 08:43,Yes,Last 10 days,2 hours 17 minutes,,,,ANONYMIZED
476,,,,04/12/2018 18:45,,,,10.0,,No,ANONYMIZED
477,,,,05/12/2018 04:17,Yes,Last day,32mins,,,No,ANONYMIZED
482,Other,,,03/12/2018 07:58,,,,12.0,,No,ANONYMIZED
483,Convex cost,,,03/12/2018 09:24,,,,,5.0,,ANONYMIZED
485,Other,,,03/12/2018 07:58,,,,,4.0,No,ANONYMIZED
491,Time shock,,,03/12/2018 14:40,,,,6.0,,,ANONYMIZED
493,,,,03/12/2018 08:09,Yes,Last 10 days,42hr and 43 minutes,,,No,ANONYMIZED
494,Other,Anchoring,,03/12/2018 08:43,Yes,Last 10 days,4 hrs and 53 min,,,No,ANONYMIZED
499,Other,,,03/12/2018 08:43,Yes,Last 7 days,3.9 hours,,,,ANONYMIZED
500,Other,,,05/12/2018 13:30,,,,,15.0,,ANONYMIZED
502,,,,03/12/2018 07:54,,,,8.0,,Yes,ANONYMIZED
503,Strategic BDM,,,03/12/2018 08:10,,,,20.0,,Yes,ANONYMIZED
